-1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00, -1.#IND00 ± -1.#IND00
0.002300 ± 0.000700, 0.037000 ± 0.003000, 0.006600 ± 0.001800, 0.056000 ± 0.014000
0.002100 ± 0.000600, 0.037600 ± 0.002500, 0.006100 ± 0.001600, 0.080000 ± 0.040000
0.001900 ± 0.000600, 0.038400 ± 0.002600, 0.006800 ± 0.002000, 0.110000 ± 0.060000
0.001900 ± 0.000500, 0.038800 ± 0.002300, 0.007700 ± 0.002700, 0.120000 ± 0.060000
0.002000 ± 0.000500, 0.038400 ± 0.002200, 0.007200 ± 0.002700, 0.120000 ± 0.060000
0.002000 ± 0.000400, 0.038200 ± 0.002100, 0.006900 ± 0.002600, 0.110000 ± 0.060000
0.002000 ± 0.000400, 0.037000 ± 0.004000, 0.006600 ± 0.002500, 0.110000 ± 0.050000
0.002000 ± 0.000400, 0.037000 ± 0.004000, 0.006400 ± 0.002400, 0.100000 ± 0.050000
0.002000 ± 0.000400, 0.036000 ± 0.004000, 0.006300 ± 0.002400, 0.100000 ± 0.050000
0.001900 ± 0.000400, 0.036000 ± 0.003000, 0.006100 ± 0.002300, 0.100000 ± 0.050000
0.002000 ± 0.000300, 0.036000 ± 0.003000, 0.006100 ± 0.002200, 0.100000 ± 0.050000
0.001900 ± 0.000300, 0.036000 ± 0.003000, 0.006100 ± 0.002100, 0.090000 ± 0.040000
0.001900 ± 0.000300, 0.036000 ± 0.003000, 0.006000 ± 0.002000, 0.090000 ± 0.040000
0.001900 ± 0.000300, 0.036000 ± 0.003000, 0.005900 ± 0.002000, 0.090000 ± 0.040000
0.001900 ± 0.000300, 0.035000 ± 0.003000, 0.005800 ± 0.001900, 0.090000 ± 0.040000
0.002000 ± 0.000600, 0.036000 ± 0.003000, 0.005800 ± 0.001900, 0.090000 ± 0.040000
0.002000 ± 0.000600, 0.036000 ± 0.003000, 0.005800 ± 0.001800, 0.090000 ± 0.040000
